,LATITUDE,LONGITUDE
0, '28.4065341', '76.9627918'
1, '28.3889069', '76.9513279'
2, '28.401406', '77.050549'
3, '28.518677', '77.015115'
4, '28.47844', '76.98611'
5, '28.47844', '76.98611'
6, '28.47844', '76.98611'
7, '28.4164', '77.01262'
9, '28.474861', '76.976292'
11, '28.39988', '77.09654'
12, '28.4164', '77.01262'
13, '28.401406', '77.050549'
14, '28.401406', '77.050549'
16, '28.501365', '77.010746'
17, '28.51337', '77.007362'
18, '28.479934', '76.969137'
19, '28.479934', '76.969137'
20, '28.3998268', '77.0610017'
21, '28.479276836122', '76.976094508889'
22, '28.440761', '76.972101'
23, '28.522621253811', '77.025486549749'
24, '28.4015851', '77.0497516'
25, '28.519268', '77.027259'
26, '28.519268', '77.027259'
27, '28.401137', '77.064929'
28, '28.41474', '77.09192'
29, '28.42093', '77.08117'
30, '28.40356', '77.085012'
31, '28.39988', '77.09654'
32, '28.439540901931', '76.969755011392'
33, '28.460089', '77.066245'
34, '28.39988', '77.09654'
35, '28.39988', '77.09654'
36, '28.532594', '77.020297'
37, '28.532594', '77.020297'
38, '28.4234414', '77.0765927'
39, '28.4234414', '77.0765927'
40, '28.4234414', '77.0765927'
41, '28.4234414', '77.0765927'
42, '28.4234414', '77.0765927'
43, '28.4234414', '77.0765927'
44, '28.4164', '77.01262'
45, '28.401575', '77.10647'
46, '28.424718', '77.038262'
47, '28.451194', '76.989289'
48, '28.412644', '77.088217'
49, '28.445927', '77.099865'
50, '28.445927', '77.099865'
51, '28.424718', '77.038262'
52, '28.424718', '77.038262'
53, '28.475639', '77.0823482'
54, '28.391640123846', '77.065127854166'
55, '28.443185', '77.108897'
56, '28.522621253811', '77.025486549749'
57, '28.522621253811', '77.025486549749'
58, '28.4934496', '76.999982'
59, '28.4934496', '76.999982'
60, '28.522621253811', '77.025486549749'
61, '28.516331087497', '76.995685046165'
62, '28.516331087497', '76.995685046165'
63, '28.516331087497', '76.995685046165'
64, '28.509518516781', '76.988676053722'
65, '28.509518516781', '76.988676053722'
66, '28.4708012', '76.9717289'
67, '28.39988', '77.09654'
68, '28.39988', '77.09654'
69, '28.41474', '77.09192'
70, '28.41201', '77.09085'
71, '28.412644', '77.088217'
72, '28.44684967862', '77.10207066169'
73, '28.443185', '77.108897'
74, '28.482289', '76.991786'
75, '28.443185', '77.108897'
76, '28.39988', '77.09654'
77, '28.445927', '77.099865'
78, '28.445927', '77.099865'
79, '28.443185', '77.108897'
80, '28.4889627', '77.0866646'
81, '28.393967', '76.959507'
82, '28.5345918', '77.0209452'
85, '28.4067756', '77.0823482'
86, '28.443185', '77.108897'
87, '28.3935416', '76.9599852'
88, '28.418353', '77.053084'
89, '28.44673', '77.09355'
90, '28.44673', '77.09355'
91, '28.475639', '77.0823482'
92, '28.4234414', '77.0765927'
93, '28.518677', '77.015115'
94, '28.4934896', '77.1039288'
95, '28.4046715', '77.0871741'
96, '28.4067756', '77.0823482'
97, '28.4889627', '77.0866646'
98, '28.447043', '77.095211'
99, '28.447043', '77.095211'
100, '28.448805', '77.093635'
101, '28.4548972', '77.1053673'
102, '28.4595', '77.02664'
103, '28.44684967862', '77.10207066169'
104, '28.44673', '77.09355'
105, '28.44673', '77.09355'
106, '28.4247815', '77.0325712'
107, '28.423345', '77.037523'
109, '28.478391', '77.076817'
110, '28.4528823', '76.9734103'
111, '28.4514754', '76.9751443'
112, '28.447369', '76.97195'
113, '28.406885', '76.930127'
114, '28.475639', '77.0823482'
115, '28.491169', '77.091415'
116, '28.4383596', '77.1062709'
117, '28.449548', '77.101515'
119, '28.423345', '77.037523'
120, '28.4895613', '76.9835069'
121, '28.495485', '76.988401'
122, '28.4546', '77.0818'
123, '28.484795', '76.999036'
124, '28.398527', '77.098785'
125, '28.479276836122', '76.976094508889'
126, '28.4754909', '77.1032095'
127, '28.50279', '76.964006'
128, '28.491169', '77.091415'
130, '28.518677', '77.015115'
131, '28.516331087497', '76.995685046165'
132, '28.425675', '77.043508'
133, '28.3971448', '77.0866646'
134, '28.392382', '77.089173'
135, '28.392382', '77.089173'
136, '28.392382', '77.089173'
137, '28.4721149', '76.9667065'
139, '28.409324', '77.045716'
140, '28.401311', '76.9513432'
141, '28.4465158', '76.9683684'
142, '28.45147', '76.96728'
143, '28.495485', '76.988401'
144, '28.514725', '76.973355'
145, '28.495485', '76.988401'
146, '28.406885', '76.930127'
148, '28.3883395', '77.0417097'
149, '28.463784', '77.062503'
150, '28.416992', '77.06544'
152, '28.479276836122', '76.976094508889'
153, '28.479276836122', '76.976094508889'
154, '28.514725', '76.973355'
155, '28.514725', '76.973355'
156, '28.523233', '77.03033'
157, '28.4902247', '77.0917625'
158, '28.41201', '77.09085'
159, '28.402145', '77.050148'
160, '28.401406', '77.050549'
161, '28.401406', '77.050549'
162, '28.401406', '77.050549'
163, '28.401406', '77.050549'
164, '28.389679', '77.059355'
165, '28.40356', '77.085012'
166, '28.40356', '77.085012'
167, '28.4572434', '77.0782527'
168, '28.440761', '76.972101'
171, '28.422656', '77.045656'
172, '28.402145', '77.050148'
173, '28.402145', '77.050148'
174, '28.3982709', '77.053568'
175, '28.3883395', '77.0417097'
176, '28.288781720029', '77.067725439623'
177, '28.288781720029', '77.067725439623'
178, '28.4153994', '77.037736'
179, '28.42049', '77.06328'
180, '28.401406', '77.050549'
181, '28.401406', '77.050549'
183, '28.41224', '77.05933'
184, '28.417831', '77.052274'
185, '28.409324', '77.045716'
186, '28.463784', '77.062503'
187, '28.463784', '77.062503'
188, '28.401406', '77.050549'
189, '28.401406', '77.050549'
190, '28.401406', '77.050549'
191, '28.401406', '77.050549'
192, '28.430479', '76.959579'
193, '28.401137', '77.064929'
195, '28.395651', '77.059336'
198, '28.4793327', '76.9751248'
199, '28.40614', '77.06529'
200, '28.40845', '77.06856'
201, '28.40845', '77.06856'
202, '28.40614', '77.06529'
203, '28.40614', '77.06529'
204, '28.40614', '77.06529'
205, '28.40614', '77.06529'
206, '28.40614', '77.06529'
207, '28.44673', '77.09355'
208, '28.4247815', '77.0325712'
210, '28.513142', '77.025951'
212, '28.449911', '76.98362'
213, '28.4265741', '77.0684785'
214, '28.411794', '77.06903'
215, '28.411794', '77.06903'
216, '28.411794', '77.06903'
217, '28.411794', '77.06903'
218, '28.390872', '76.95272'
219, '28.401406', '77.050549'
220, '28.424305', '77.061575'
221, '28.453807', '77.0492504'
222, '28.5129305', '77.037736'
223, '28.5129305', '77.037736'
225, '28.501365', '77.010746'
226, '28.512097', '77.064145'
227, '28.512097', '77.064145'
228, '28.512097', '77.064145'
229, '28.417831', '77.052274'
230, '28.512097', '77.064145'
231, '28.5129305', '77.037736'
232, '28.5129305', '77.037736'
233, '28.4889627', '77.0866646'
234, '28.4889627', '77.0866646'
236, '28.428074', '77.0650809'
237, '28.4345552', '77.0578855'
238, '28.43442', '77.0656945'
239, '28.460089', '77.066245'
242, '28.381418', '77.064078'
243, '28.452895', '77.046689'
246, '28.283876', '77.068298'
247, '28.249352', '77.067276'
248, '28.4247815', '77.0325712'
249, '28.4247815', '77.0325712'
250, '28.515309', '77.003236'
251, '28.469269', '76.971396'
252, '28.484795', '76.999036'
253, '28.508602', '77.002116'
254, '28.444091', '76.967096'
255, '28.444091', '76.967096'
256, '28.29722', '77.06475'
257, '28.4247815', '77.0325712'
258, '28.4247815', '77.0325712'
259, '28.4247815', '77.0325712'
260, '28.4247815', '77.0325712'
261, '28.4247815', '77.0325712'
262, '28.422235', '77.033496'
263, '28.422235', '77.033496'
264, '28.4247815', '77.0325712'
265, '28.4247815', '77.0325712'
266, '28.4247815', '77.0325712'
267, '28.4247815', '77.0325712'
268, '28.4247815', '77.0325712'
269, '28.4247815', '77.0325712'
270, '28.4247815', '77.0325712'
271, '28.4247815', '77.0325712'
272, '28.4247815', '77.0325712'
273, '28.4247815', '77.0325712'
274, '28.4247815', '77.0325712'
275, '28.4247815', '77.0325712'
276, '28.4247815', '77.0325712'
277, '28.4247815', '77.0325712'
278, '28.4247815', '77.0325712'
279, '28.4247815', '77.0325712'
280, '28.4247815', '77.0325712'
281, '28.4247815', '77.0325712'
282, '28.4247815', '77.0325712'
283, '28.5180069', '77.0157613'
284, '28.401406', '77.050549'
285, '28.4069773', '77.024781'
286, '28.4069773', '77.024781'
287, '28.4069773', '77.024781'
288, '28.4069773', '77.024781'
289, '28.4069773', '77.024781'
290, '28.386572', '76.96643'
291, '28.4736102', '77.0463719'
292, '28.47111', '77.044561'
293, '28.464776', '77.100449'
294, '28.487766110186', '77.087290980426'
295, '28.43318', '76.95438'
296, '28.488289', '76.985599'
297, '28.4736102', '77.0463719'
298, '28.635426', '77.01073'
299, '28.467525', '76.968704'
300, '28.412173', '77.0361'
301, '28.424147', '77.07926'
302, '28.41835', '77.075874'
303, '28.423199', '77.07521'
304, '28.421976', '77.07915'
305, '28.423199', '77.07521'
306, '28.4049782', '77.0367023'
307, '28.483961', '77.013514'
308, '28.4164', '77.01262'
309, '28.4164', '77.01262'
310, '28.4056704', '77.070837'
311, '28.4164', '77.01262'
312, '28.4085579', '76.951783'
313, '28.4085579', '76.951783'
314, '28.4085579', '76.951783'
315, '28.392563', '76.959816'
316, '28.3918078', '77.0880891'
317, '28.3918078', '77.0880891'
318, '28.3974533', '77.0990198'
319, '28.424305', '77.061575'
320, '28.40874', '77.05731'
321, '28.417831', '77.052274'
322, '28.417831', '77.052274'
323, '28.424305', '77.061575'
324, '28.412173', '77.0361'
325, '28.417831', '77.052274'
326, '28.442663', '77.05756'
327, '28.3974533', '77.0990198'
328, '28.5083842', '77.0028262'
329, '28.451936', '77.085958'
330, '28.4934896', '77.1039288'
331, '28.4439713', '77.1111214'
332, '28.420457', '77.038483'
333, '28.283817', '77.077636'
334, '28.283817', '77.077636'
335, '28.288781720029', '77.067725439623'
336, '28.420457', '77.038483'
337, '28.283817', '77.077636'
338, '28.283817', '77.077636'
339, '28.257717882574', '77.079001254492'
340, '28.287996', '77.064602'
341, '28.288781720029', '77.067725439623'
342, '28.288781720029', '77.067725439623'
343, '28.261190782338', '77.063541168742'
344, '28.450443', '76.988288'
345, '28.4012356', '77.0652751'
346, '28.40356', '77.085012'
347, '28.40356', '77.085012'
348, '28.40356', '77.085012'
349, '28.40356', '77.085012'
350, '28.4008819', '77.0683607'
351, '28.401137', '77.064929'
352, '28.4091958', '77.0478112'
353, '28.449911', '76.98362'
354, '28.50629', '77.03307'
355, '28.50629', '77.03307'
356, '28.472552', '76.9655'
357, '28.3974533', '77.0990198'
358, '28.474861', '76.976292'
359, '28.4799614', '76.9700745'
360, '28.498236', '76.99871'
361, '28.479276836122', '76.976094508889'
362, '28.484795', '76.999036'
363, '28.499023', '76.983105'
364, '28.426563', '77.07128'
365, '28.392382', '77.089173'
366, '28.4345552', '77.0578855'
368, '28.4022617', '77.0519549'
369, '28.40356', '77.085012'
370, '28.40356', '77.085012'
371, '28.40356', '77.085012'
372, '28.4142435', '77.059677'
373, '28.4103851', '77.0583764'
375, '28.5033', '76.99743'
376, '28.4146696', '77.0598703'
377, '28.412173', '77.0361'
378, '28.393486', '77.018605'
379, '28.393486', '77.018605'
380, '28.443962', '76.954155'
381, '28.453807', '77.0492504'
382, '28.386708', '77.062881'
383, '28.401137', '77.064929'
384, '28.288317', '77.066043'
385, '28.399273', '77.070425'
386, '28.409748', '76.953903'
387, '28.443185', '77.108897'
388, '28.401137', '77.064929'
389, '28.5085746', '77.0075055'
390, '28.4746969', '76.9686267'
391, '28.411794', '77.06903'
392, '28.411794', '77.06903'
393, '28.445927', '77.099865'
394, '28.434808', '76.955789'
395, '28.4655344', '76.9628658'
396, '28.400332', '77.097455'
397, '28.463979', '76.961894'
398, '28.463979', '76.961894'
399, '28.46252', '76.951718'
400, '28.409748', '76.953903'
401, '28.409208', '76.925732'
402, '28.3926485', '77.0347324'
403, '28.392384', '77.0344132'
404, '28.389679', '77.059355'
405, '28.459142', '77.08717'
406, '28.406013', '76.964'
407, '28.519268', '77.027259'
408, '28.402309427353', '77.036047802092'
409, '28.484795', '76.999036'
410, '28.4339616', '77.1370117'
411, '28.4090422', '76.9539631'
412, '28.4091448', '76.9542271'
413, '28.4514967', '77.0808977'
414, '28.3993997', '76.9703234'
415, '28.288781720029', '77.067725439623'
416, '28.519268', '77.027259'
417, '28.38922', '77.0551'
418, '28.39435', '77.029824'
419, '28.45382', '77.09956'
420, '28.393622', '77.035359'
421, '28.2849099', '77.0750148'
422, '28.472761', '77.085959'
423, '28.249352', '77.067276'
424, '28.249352', '77.067276'
425, '28.249352', '77.067276'
426, '28.401137', '77.064929'
427, '28.403301', '77.045624'
428, '28.476487', '77.073759'
429, '28.409463', '77.108186'
430, '28.402309427353', '77.036047802092'
431, '28.402309427353', '77.036047802092'
432, '28.406116', '76.93151'
433, '28.4081658', '76.9628658'
434, '28.383166', '77.024828'
435, '28.4067756', '77.0823482'
436, '28.40356', '77.085012'
437, '28.288781720029', '77.067725439623'
438, '28.3947852', '77.0844988'
439, '28.409433', '77.105276'
440, '28.356562', '76.973291'
441, '28.465199', '77.078031'
442, '28.3935416', '76.9599852'
443, '28.4081658', '76.9628658'
444, '28.4056704', '77.070837'
445, '28.40356', '77.085012'
446, '28.4206095', '77.0565634'
448, '28.449548', '77.101515'
449, '28.484342', '77.088299'
450, '28.507281', '77.008945'
451, '28.4094098', '76.9534684'
452, '28.5138282', '76.9742473'
453, '28.4691686', '77.0885917'
454, '28.411939299611', '76.943580409451'
455, '28.482289', '76.991786'
456, '28.4624172', '77.099663'
457, '28.455542686641', '76.9733897433'
458, '28.412472', '77.055374'
459, '28.4360853', '77.0674923'
460, '28.4748323', '77.0752418'
461, '28.411939299611', '76.943580409451'
462, '28.499693', '76.999962'
464, '28.389679', '77.059355'
465, '28.4164', '77.01262'
466, '28.4164', '77.01262'
469, '28.516331087497', '76.995685046165'
470, '28.516331087497', '76.995685046165'
471, '28.516331087497', '76.995685046165'
472, '28.516331087497', '76.995685046165'
473, '28.391640123846', '77.065127854166'
474, '28.391640123846', '77.065127854166'
475, '28.389679', '77.059355'
476, '28.38922', '77.0551'
477, '28.38922', '77.0551'
478, '28.4164', '77.01262'
479, '28.4164', '77.01262'
480, '28.3836804', '77.0177033'
481, '28.38922', '77.0551'
482, '28.40356', '77.085012'
483, '28.40356', '77.085012'
484, '28.38922', '77.0551'
485, '28.4160426', '77.0593246'
486, '28.4160426', '77.0593246'
487, '28.3845661', '77.0170996'
488, '28.382916', '77.0173898'
489, '28.454369', '76.976104'
490, '28.285808', '77.066673'
491, '28.391640123846', '77.065127854166'
492, '28.412173', '77.0361'
493, '28.409324', '77.045716'
494, '28.441588', '77.079763'
495, '28.409324', '77.045716'
496, '28.3954992', '77.024781'
497, '28.391640123846', '77.065127854166'
