PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,TOTAL_FLOOR,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,stories
S,Residential Apartment,4.0,4.0,4.0,8766.0,Semi-furnished,5-10,14.0,26.0,3434.0,2.63,Sector 84,single
S,Residential Apartment,4.0,4.0,3.0,21176.0,Semi-furnished,1-5,7.0,29.0,2870.0,3.6,Sector 81,single
S,Residential Apartment,3.0,3.0,3.0,13740.0,Semi-furnished,1-5,14.0,28.0,2802.0,3.85,Sector 112,single
S,Residential Apartment,3.0,4.0,4.0,8515.0,Semi-furnished,1-5,4.0,27.0,2290.0,1.95,Sector 104,single
S,Residential Apartment,2.0,2.0,3.0,11571.0,Unfurnished,0-1,12.0,30.0,1400.0,1.62,Sector 74,single
S,Independent/Builder Floor,3.0,3.0,3.0,8067.473414008067,Semi-furnished,1-5,0.0,3.0,2727.0,2.2,Sector 102,single
S,Residential Apartment,4.0,4.0,4.0,15463.0,Semi-furnished,1-5,39.0,39.0,4850.0,7.5,Sector 60,single
S,Residential Apartment,2.0,2.0,3.0,11428.0,Unfurnished,0-1,16.0,30.0,1400.0,1.6,Sector 74,single
S,Residential Apartment,3.0,3.0,2.0,23648.0,Semi-furnished,1-5,4.0,17.0,1950.0,3.5,Sector 66,single
S,Residential Apartment,5.0,5.0,4.0,11597.0,Semi-furnished,1-5,14.0,21.0,3880.0,4.5,Sector 110,single
S,Residential Apartment,3.0,4.0,3.0,7159.0,Semi-furnished,1-5,1.0,20.0,2165.0,1.55,Sector 109,single
S,Residential Apartment,3.0,3.0,3.0,9382.0,Semi-furnished,1-5,10.0,14.0,2025.0,1.9,Sector 102,single
S,Residential Apartment,3.0,4.0,3.0,9500.0,Semi-furnished,1-5,2.0,14.0,2000.0,1.9,Sector 102,single
S,Residential Apartment,3.0,4.0,4.0,20370.0,Semi-furnished,1-5,33.0,42.0,2430.0,4.95,Sector 65,single
S,Residential Apartment,2.0,2.0,3.0,10699.0,Semi-furnished,1-5,8.0,14.0,1215.0,1.3,Sector 102,single
S,Independent/Builder Floor,3.0,3.0,2.0,12105.0,Semi-furnished,Under Construction,2.0,4.0,1250.0,1.15,Sector 37D,single
S,Residential Apartment,3.0,3.0,3.0,12612.0,Semi-furnished,Under Construction,12.0,36.0,1665.0,2.1,Sector 113 Gurgaon,single
S,Residential Apartment,4.0,5.0,2.0,17517.0,Semi-furnished,1-5,5.0,17.0,3625.0,6.35,Sector 66,single
S,Residential Apartment,3.0,3.0,2.0,16000.0,Furnished,0-1,7.0,21.0,2200.0,3.56,Sector 111,single
S,Residential Apartment,3.0,3.0,2.0,13000.0,Furnished,0-1,2.0,21.0,1700.0,2.25,Sector 111,single
S,Residential Apartment,3.0,3.0,2.0,18138.0,Semi-furnished,1-5,9.0,40.0,3363.0,6.1,Sector 65,single
S,Independent/Builder Floor,3.0,3.0,2.0,10335.9173126615,Semi-furnished,0-1,4.0,4.0,1935.0,2.0,Sushant Lok Phase 3,single
S,Residential Apartment,3.0,3.0,3.0,16550.0,Semi-furnished,0-1,10.0,32.0,2567.0,4.25,Sector 62,single
S,Residential Apartment,3.0,4.0,2.0,15158.0,Semi-furnished,1-5,5.0,12.0,2045.0,3.1,Sector 60,single
S,Independent House/Villa,3.0,3.0,3.0,9771.0,Semi-furnished,Under Construction,4.0,4.0,1535.0,1.5,Sector 37D,multi
S,Residential Apartment,2.0,2.0,2.0,16117.0,Semi-furnished,1-5,2.0,12.0,1365.0,2.2,Sector 60,single
