,Sector,SW,NE,NW,SE,value
0,Sector 84,"28.3992344,76.9547099","28.4171845,76.9728238","28.4171845,76.9547099","28.3992344,76.9728238",0
1,Sector 81,"28.3810248,76.9358092","28.3955282,76.9566384","28.3955282,76.9358092","28.3810248,76.9566384",1
2,Sector 112,"28.5133462,77.0105771","28.5348138,77.0234394","28.5348138,77.0105771","28.5133462,77.0234394",2
3,Sector 104,"28.4686072,76.9808303","28.4931639,77.0085706","28.4931639,76.9808303","28.4686072,77.0085706",3
4,Sector 74,"28.4008281,77.0000093","28.4240826,77.0196986","28.4240826,77.0000093","28.4008281,77.0196986",4
5,Sector 102,"28.4678764,76.9607315","28.4860356,76.9808303","28.4860356,76.9607315","28.4678764,76.9808303",5
6,Sector 60,"28.3785617,77.0778276","28.4185617,77.1178276","28.4185617,77.0778276","28.3785617,77.1178276",6
7,Sector 66,"28.3774292,77.0338823","28.4174292,77.0738823","28.4174292,77.0338823","28.3774292,77.0738823",7
8,Sector 110,"28.4953561,77.0081750","28.5187849,77.0269322","28.5187849,77.0081750","28.4953561,77.0269322",8
9,Sector 109,"28.5013412,76.9948373","28.5184844,77.0186166","28.5184844,76.9948373","28.5013412,77.0186166",9
10,Sector 65,"28.3939999,77.0589847","28.4122793,77.0805790","28.4122793,77.0589847","28.3939999,77.0805790",10
11,Sector 37D,"28.4299891,76.9602355","28.4615642,76.9842180","28.4615642,76.9602355","28.4299891,76.9842180",11
12,Sector 113 Gurgaon,"28.5187849,77.0185792","28.5362180,77.0340512","28.5362180,77.0185792","28.5187849,77.0340512",12
13,Sector 111,"28.5144708,77.0251671","28.5300656,77.0424046","28.5300656,77.0251671","28.5144708,77.0424046",13
14,Sushant Lok Phase 3,"28.4143567,77.0709427","28.4272426,77.0911594","28.4272426,77.0709427","28.4143567,77.0911594",14
15,Sector 62,"28.3994698,77.0746581","28.4173299,77.0923553","28.4173299,77.0746581","28.3994698,77.0923553",15
16,Sector 57,"28.4122793,77.0648143","28.4306451,77.0912480","28.4306451,77.0648143","28.4122793,77.0912480",16
17,Sector 59,"28.3830162,77.0866682","28.4230162,77.1266682","28.4230162,77.0866682","28.3830162,77.1266682",17
18,Sector 37C,"28.4424744,76.9782526","28.4544427,76.9972285","28.4544427,76.9782526","28.4424744,76.9972285",18
19,Sector 53,"28.4312887,77.0876834","28.4502537,77.1053206","28.4502537,77.0876834","28.4312887,77.1053206",19
20,Sector 28,"28.4679062,77.0715635","28.4814775,77.0946320","28.4814775,77.0715635","28.4679062,77.0946320",20
21,Sector 67,"28.3664052,77.0398046","28.4064052,77.0798046","28.4064052,77.0398046","28.3664052,77.0798046",21
22,Sector 54,"28.4313367,77.0994329","28.4504499,77.1220533","28.4504499,77.0994329","28.4313367,77.1220533",22
23,Sector 106,"28.4931639,76.9854207","28.5144465,77.0081750","28.5144465,76.9854207","28.4931639,77.0081750",23
24,Sector 108,"28.5071706,76.9706359","28.5212528,76.9991059","28.5212528,76.9706359","28.5071706,76.9991059",24
25,Sector 61,"28.3910188,77.0763685","28.4310188,77.1163685","28.4310188,77.0763685","28.3910188,77.1163685",25
26,DLF Phase 2,"28.4786554,77.0716828","28.4942383,77.0947450","28.4942383,77.0716828","28.4786554,77.0947450",26
27,Sector 82,"28.3861541,76.9509035","28.3992344,76.9674154","28.3992344,76.9509035","28.3861541,76.9674154",27
28,South City 2,"28.4188292,77.0438659","28.4189300,77.0439752","28.4189300,77.0438659","28.4188292,77.0439752",28
29,DLF Phase 5,"28.5019932,77.0938062","28.5052675,77.0966821","28.5052675,77.0938062","28.5019932,77.0966821",29
30,Sector 90,"28.4000485,76.9276481","28.4135610,76.9453919","28.4135610,76.9276481","28.4000485,76.9453919",30
31,Sector 103,"28.4817885,76.9720448","28.5071706,76.9994099","28.5071706,76.9720448","28.4817885,76.9994099",31
32,Sector 63,"28.3764476,77.0664980","28.4164476,77.1064980","28.4164476,77.0664980","28.3764476,77.1064980",32
33,Sector 107,"28.4984432,76.9620491","28.5157991,76.9854207","28.5157991,76.9620491","28.4984432,76.9854207",33
34,Malibu Town,"28.4194922,77.0392329","28.4279551,77.0546677","28.4279551,77.0392329","28.4194922,77.0546677",34
35,Sector 63A,"28.4172746,77.0910767","28.4314754,77.1053206","28.4314754,77.0910767","28.4172746,77.1053206",35
36,Sector 68,"28.3688970,77.0259859","28.4088970,77.0659859","28.4088970,77.0259859","28.3688970,77.0659859",36
37,Sector 48,"28.3904903,77.0194627","28.4304903,77.0594627","28.4304903,77.0194627","28.3904903,77.0594627",37
38,Sector 50,"28.4065560,77.0518744","28.4265483,77.0746581","28.4265483,77.0518744","28.4065560,77.0746581",38
39,Sector 36A,"28.4002285,76.9519998","28.4402285,76.9919998","28.4402285,76.9519998","28.4002285,76.9919998",39
40,Sector 110 A,"28.4953561,77.0081750","28.5187849,77.0269322","28.5187849,77.0081750","28.4953561,77.0269322",40
41,Sector 51,"28.4205318,77.0572988","28.4368753,77.0754687","28.4368753,77.0572988","28.4205318,77.0754687",41
42,Sector 31,"28.4462503,77.0419032","28.4595874,77.0566718","28.4595874,77.0419032","28.4462503,77.0566718",42
43,Palam Vihar,"28.4911464,77.0146077","28.5050072,77.0285830","28.5050072,77.0146077","28.4911464,77.0285830",43
44,Sector 23,"28.5025964,77.0417925","28.5166427,77.0671624","28.5166427,77.0417925","28.5025964,77.0671624",44
45,Sector 46,"28.4276614,77.0492887","28.4438734,77.0673151","28.4438734,77.0492887","28.4276614,77.0673151",45
46,Sector 45,"28.4368753,77.0581972","28.4524700,77.0759032","28.4524700,77.0581972","28.4368753,77.0759032",46
47,Sector 67A,"28.4677037,77.0179221","28.4814427,77.0320237","28.4814427,77.0179221","28.4677037,77.0320237",47
48,Sector-33 Sohna,"28.2005681,77.0031377","28.4465841,77.2418683","28.4465841,77.0031377","28.2005681,77.2418683",48
49,Sohna,"28.2005681,77.0031377","28.4465841,77.2418683","28.4465841,77.0031377","28.2005681,77.2418683",49
50,Sector 36 Sohna,"28.4086456,77.1011878","28.4281810,77.1182005","28.4281810,77.1011878","28.4086456,77.1182005",50
51,Sector 71,"28.4005528,77.0160432","28.4200704,77.0308750","28.4200704,77.0160432","28.4005528,77.0308750",51
52,Sector 82A,"28.3790600,76.9566384","28.3916719,76.9728308","28.3916719,76.9566384","28.3790600,76.9728308",52
53,Sector 14,"28.4537840,77.0271827","28.4937840,77.0671827","28.4937840,77.0271827","28.4537840,77.0671827",53
54,DLF Phase 4,"28.4918548,77.0937304","28.4919548,77.0938304","28.4919548,77.0937304","28.4918548,77.0938304",54
