,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,AGE,SUPERBUILTUP_SQFT,PRICE,LOCALITY_WO_CITY,total_facilities,furnishing_type
0,4.0,4.0,4.0,8766.0,5-10,3434.0,2.63,Sector 84,4,0
1,4.0,4.0,3.0,21176.0,1-5,2870.0,3.6,Sector 81,5,0
2,3.0,3.0,3.0,13740.0,1-5,2802.0,3.85,Sector 112,4,0
3,3.0,4.0,4.0,8515.0,1-5,2290.0,1.95,Sector 104,6,0
4,2.0,2.0,3.0,11571.0,0-1,1400.0,1.62,Sector 74,6,1
5,3.0,3.0,3.0,8067.473414008067,1-5,2727.0,2.2,Sector 102,5,1
6,4.0,4.0,4.0,15463.0,1-5,4850.0,7.5,Sector 60,5,0
7,2.0,2.0,3.0,11428.0,0-1,1400.0,1.6,Sector 74,6,1
8,3.0,3.0,2.0,23648.0,1-5,1950.0,3.5,Sector 66,6,0
9,5.0,5.0,4.0,11597.0,1-5,3880.0,4.5,Sector 110,6,1
10,3.0,4.0,3.0,7159.0,1-5,2165.0,1.55,Sector 109,1,1
11,3.0,3.0,3.0,9382.0,1-5,2025.0,1.9,Sector 102,4,0
12,3.0,4.0,3.0,9500.0,1-5,2000.0,1.9,Sector 102,4,0
13,3.0,4.0,4.0,20370.0,1-5,2430.0,4.95,Sector 65,3,0
14,2.0,2.0,3.0,10699.0,1-5,1215.0,1.3,Sector 102,4,0
15,3.0,3.0,2.0,12105.0,Under Construction,1250.0,1.15,Sector 37D,4,0
16,3.0,3.0,3.0,12612.0,Under Construction,1665.0,2.1,Sector 113 Gurgaon,5,1
17,4.0,5.0,2.0,17517.0,1-5,3625.0,6.35,Sector 66,2,0
18,3.0,3.0,2.0,16000.0,0-1,2200.0,3.56,Sector 111,4,1
19,3.0,3.0,2.0,13000.0,0-1,1700.0,2.25,Sector 111,4,0
20,3.0,3.0,2.0,18138.0,1-5,3363.0,6.1,Sector 65,5,0
21,3.0,3.0,2.0,10335.9173126615,0-1,1935.0,2.0,Sushant Lok Phase 3,3,1
22,3.0,3.0,3.0,16550.0,0-1,2567.0,4.25,Sector 62,5,0
23,3.0,4.0,2.0,15158.0,1-5,2045.0,3.1,Sector 60,5,0
24,3.0,3.0,3.0,9771.0,Under Construction,1535.0,1.5,Sector 37D,1,0
25,2.0,2.0,2.0,16117.0,1-5,1365.0,2.2,Sector 60,5,0
26,3.0,3.0,3.0,10500.0,Under Construction,1579.0,1.66,Sector 113 Gurgaon,5,1
27,4.0,4.0,2.0,7959.714100064977,0-1,3078.0,2.45,Sector 57,3,1
28,4.0,4.0,2.0,8122.157244964263,0-1,3078.0,2.5,Sector 57,3,1
29,4.0,4.0,2.0,10139.416983523448,0-1,2367.0,2.4,Sector 57,3,1
30,3.0,3.0,2.0,10265.700483091789,0-1,1656.0,1.7,Sector 57,3,1
31,3.0,3.0,2.0,10620.91503267974,0-1,1836.0,1.95,Sector 57,3,1
32,4.0,4.0,2.0,10721.247563352828,0-1,3078.0,3.3,Sector 57,3,1
33,3.0,4.0,3.0,14290.0,1-5,2974.0,4.25,Sector 59,4,0
34,4.0,4.0,3.0,14839.0,5-10,2527.0,3.75,Sector 62,2,0
35,3.0,3.0,3.0,8173.0,Under Construction,1790.0,1.23,Sector 37C,3,0
36,3.0,4.0,4.0,16753.0,5-10,2895.0,4.85,Sector 53,4,0
37,3.0,4.0,4.0,17098.0,5-10,2895.0,4.95,Sector 53,4,0
38,3.0,4.0,3.0,13937.0,1-5,2583.0,3.6,Sector 28,3,0
39,2.0,2.0,3.0,15646.0,1-5,1470.0,2.3,Sector 67,4,0
40,3.0,4.0,3.0,23913.0,1-5,2300.0,5.5,Sector 54,4,0
41,4.0,4.0,4.0,12500.0,Under Construction,2570.0,3.21,Sector 113 Gurgaon,5,1
42,4.0,4.0,4.0,12500.0,Under Construction,2510.0,3.14,Sector 113 Gurgaon,5,1
43,4.0,4.0,4.0,15500.0,Under Construction,2717.0,4.21,Sector 106,2,1
44,3.0,3.0,3.0,15500.0,Under Construction,2600.0,4.03,Sector 106,2,1
45,3.0,3.0,2.0,11396.0,Under Construction,1665.0,1.9,Sector 113 Gurgaon,5,1
46,4.0,4.0,3.0,10109.0,Under Construction,2913.0,2.94,Sector 108,5,1
47,3.0,3.0,2.0,15499.0,Under Construction,2343.0,2.34,Sector 108,5,1
48,3.0,3.0,3.0,15544.0,Under Construction,1745.0,2.71,Sector 108,5,1
49,3.0,3.0,3.0,7282.0,Under Construction,1900.0,1.38,Sector 106,5,1
