PREFERENCE,PROPERTY_TYPE,BEDROOM_NUM,BATHROOM_NUM,BALCONY_NUM,PRICE_PER_UNIT_AREA,FURNISH,AGE,FLOOR_NUM,SUPERBUILTUP_SQFT,PRICE,SOCIETY_NAME,LOCALITY_WO_CITY,FEATURES_LIST,stories,nearby_facilities
S,Residential Apartment,4.0,4.0,4.0,8766.0,Semi-furnished,5-10,14.0,3434.0,2.63,Alpha Corp GurgaonOne 84,Sector 84,"['Intercom Facility', 'Lift(s)', 'Water purifier', 'Maintenance Staff', 'Near Bank', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",single,"['Bank/ATM', 'Park', 'School/College', 'Hospital']"
S,Residential Apartment,4.0,4.0,3.0,21176.0,Semi-furnished,1-5,7.0,2870.0,3.6,DLF The Ultima,Sector 81,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,3.0,13740.0,Semi-furnished,1-5,14.0,2802.0,3.85,Experion Windchants,Sector 112,"['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Railway', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,4.0,4.0,8515.0,Semi-furnished,1-5,4.0,2290.0,1.95,ATS Triumph,Sector 104,"['Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,2.0,2.0,3.0,11571.0,Unfurnished,0-1,12.0,1400.0,1.62,M3M Skywalk,Sector 74,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Independent/Builder Floor,3.0,3.0,3.0,8067.473414008067,Semi-furnished,1-5,0.0,2727.0,2.2,BPTP Amstoria,Sector 102,"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Maintenance Staff', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Hospital', 'Airport']"
S,Residential Apartment,4.0,4.0,4.0,15463.0,Semi-furnished,1-5,39.0,4850.0,7.5,Ireo Skyon,Sector 60,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Rain Water Harvesting', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,2.0,2.0,3.0,11428.0,Unfurnished,0-1,16.0,1400.0,1.6,M3M Skywalk,Sector 74,"['Power Back-up', 'Intercom Facility', 'Lift(s)', 'Piped-gas', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,3.0,3.0,2.0,23648.0,Semi-furnished,1-5,4.0,1950.0,3.5,Emaar MGF The Palm Drive,Sector 66,"['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Near Bank', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Waste Disposal', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
S,Residential Apartment,5.0,5.0,4.0,11597.0,Semi-furnished,1-5,14.0,3880.0,4.5,Indiabulls Enigma,Sector 110,"['Power Back-up', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",single,"['Park', 'Railway', 'School/College', 'Metro', 'Hospital', 'Airport']"
